Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
590,,Actual,Boarding,Senegal,Senegal,433,"Dakar, Senegal",1,4,1997,14.6666667,-17.3666667,4,IMB,CBMT Express,Bahamas,31,6,Steaming,Unspecified,0,Unspecified,,0,1,1,0,1,1,2,-99,
591,,Attempted,,Guinea,Guinea,438,"Conakry roads, Guinea",2,4,1997,9.5166667,-13.7166667,4,IMB,South County,Cyprus,352,6,Anchored,20,1,Automatic firearms,,1,0,1,0,2,0,-99,-99,
592,,Actual,Boarding,Brazil,Brazil,140,"Rio de Janeiro, Brazil",3,4,1997,-22.8933333,-43.1666667,4,IMB,Hansa Carrier,Germany,255,4,Unspecified,6,1,Guns,,1,1,1,0,-99,1,2,-99,
593,,Actual,Boarding,Madagascar,Madagascar,580,"Tomascina, Madagascar",3,4,1997,-18.15,49.41666667,4,IMB,Nedloyd Main,Malaysia,820,4,Unspecified,3,0,Unspecified,,0,1,1,0,-99,1,2,-99,
594,,Attempted,,Vietnam,Vietnam,816,Vietnam,3,4,1997,8.9166667,103.7333333,1,IMB,Zim Kaohsiung 1,Malta,338,6,Steaming,Unspecified,1,Unspecified,,1,0,1,0,1,0,-99,-99,
595,,Attempted,,Thailand,Thailand,800,"Si Racha, Thailand",9,4,1997,13.1166667,101.8766667,2,IMB,,,,,Anchored,Unspecified,0,Unspecified,,0,0,1,0,2,0,-99,-99,
596,,Actual,Boarding,Senegal,Senegal,433,"South of Goree Island, Dakar, Senegal",12,4,1997,14.6666667,-17.3666667,4,IMB,Trein Maesk,,,,Unspecified,2,0,Unspecified,,0,1,1,0,-99,1,2,-99,
597,,Actual,Hijacked,Somalia,Somalia,520,"Garad, Somalia",17,4,1997,6.9092,49.3771,4,IMB,Bahari Hindi,Italy,325,5,Unspecified,0,1,Unspecified,,1,0,1,1,-99,1,1,-99,
598,,Actual,Hijacked,Thailand,Thailand,800,"Koh Sichang, Thailand",18,4,1997,13.138,100.825,2,IMB,Lawas Cantik,Malaysia,820,2,Unspecified,Unspecified,0,Unspecified,,1,0,1,0,-99,1,1,-99,
599,,Actual,Hijacked,Nigeria,Nigeria,475,"Forcados, Nigeria",19,4,1997,5.1666667,5.1766667,4,IMB,,Nigeria,475,,Unspecified,Unspecified,0,Unspecified,,1,1,1,0,-99,1,1,-99,
600,,Actual,Boarding,Jamaica,Jamaica,51,"Kingston, Jamaica",21,4,1997,17.975,-76.8381667,4,IMB,Sydney Star,Bahamas,31,4,Unspecified,3,0,Unspecified,,0,0,1,0,-99,1,2,-99,
601,,Actual,Boarding,Sierra Leone,Sierra Leone,451,"Freetown, Sierra Leone",22,4,1997,8.5,-13.2265,4,IMB,Antartica Elrus,Liberia,450,4,Unspecified,5,1,Knives,,0,0,1,0,-99,1,2,-99,
602,,Actual,Boarding,Bangladesh,Bangladesh,771,"Mongla, Bangladesh",22,4,1997,22.4765,89.5765,4,IMB,Alam Talang,Malaysia,820,6,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
603,,Attempted,,Indonesia,Indonesia,850,"Gelasa Straits, Indonesia",23,4,1997,-2.6667,107.25,4,IMB,Kota Hadiah,Singapore,830,6,Unspecified,Unspecified,0,Unspecified,,0,0,1,0,-99,0,-99,-99,
